	000001.sz	000002.sz	000009.sz	000024.sz	000039.sz	000069.sz	000400.sz	000401.sz	000402.sz	000425.sz	000536.sz	000562.sz	000581.sz	000598.sz	000623.sz	000629.sz	000630.sz	000656.sz	000686.sz	000728.sz
95	10.94	10.41	8.36	29.25	9.09	7.09	10.64	15.38	11	14.62	4.83	9.94	8	2.13	23.39	5.59	15.94	5.34	25	17.16
96	10.94	10.15	8.38	28.1	9.2	6.97	10.54	15.14	10.79	15.31	4.83	9.9	8.57	2.2	22.85	5.68	16.19	5.34	24.36	17.05
97	11.18	10.25	8.53	27.73	9.12	6.97	10.78	14.9	10.99	15.1	4.83	9.91	8.44	2.22	23.53	5.66	17.81	5.34	24.64	17.17
98	11	10.12	8.36	27.9	8.88	6.97	10.73	14.7	10.9	15.4	4.83	9.66	8.44	2.16	22.95	5.59	18.07	5.34	24.65	17.17
99	10.59	9.75	8.18	27.79	8.73	6.97	10.32	14.8	10.55	15.35	4.83	9.28	8.01	2.07	21.92	5.55	18.94	5.34	23.69	16.36
100	10.69	9.65	8.21	27.9	8.7	6.97	10.77	14.78	10.52	14.99	4.83	9.28	8.29	2.28	21.86	5.53	18.8	5.34	23.79	16.38
101	10.73	9.96	8.45	28.53	8.74	6.97	10.77	14.22	10.5	14.75	4.83	9.65	8.62	2.41	22.68	5.53	20.16	5.34	24.65	17.18
102	10.68	9.66	8.41	27.66	8.65	6.97	11.85	13.58	10.15	14.4	4.83	9.57	8.51	2.5	22.42	5.47	19.05	5.34	24.19	16.85
103	11.15	9.74	8.36	27.8	8.95	6.97	12.08	13.6	10.1	14.35	4.83	9.59	8.04	2.51	23.36	5.45	19.63	5.34	24.31	17.06
104	11.15	9.74	8.36	27.8	8.95	6.97	12.08	13.6	10.1	14.35	4.83	9.59	8.04	2.51	23.36	5.45	19.63	5.34	24.31	17.06
105	11.15	9.74	8.36	27.8	8.95	6.97	12.08	13.6	10.1	14.35	4.83	9.59	8.04	2.51	23.36	5.45	19.63	5.34	24.31	17.06
106	11.44	10.16	8.37	28.77	9.12	6.97	12.63	14.15	10.37	14.6	4.83	9.82	8.07	2.49	24.04	5.49	20.9	5.34	25.23	17.53
107	11.55	10.22	8.76	29.36	9.1	6.97	12.39	13.88	10.71	14.38	4.83	9.76	8.12	2.5	23.88	5.45	20.92	5.34	25	17.35
108	12.48	10.84	9.33	31.02	10.01	6.97	12.78	13.87	11.14	13.93	4.83	10.1	8.19	2.47	24.29	5.47	21.03	5.34	26.31	17.84
