,Comcd,Enddt,QVal,,Year10,Year11,Year12,Year13
479,c000050,2004,1.267796,,0,0,0,0
480,c000050,2005,1.139986,,0,0,0,0
481,c000050,2006,1.445485,,0,0,0,0
482,c000050,2007,1.114586,,0,0,0,0
483,c000050,2008,0.850022,,0,0,0,0
484,c000050,2009,1.0456,,0,0,0,0
485,c000050,2010,1.309062,,1,0,0,0
486,c000050,2011,1.060428,,0,1,0,0
487,c000050,2012,1.157046,,0,0,1,0
488,c000050,2013,1.369731,,0,0,0,1
489,c000055,2003,0.818254,,0,0,0,0
490,c000055,2004,1.00783,,0,0,0,0
491,c000055,2005,0.932917,,0,0,0,0
492,c000055,2006,1.003523,,0,0,0,0
493,c000055,2007,1.307041,,0,0,0,0
494,c000055,2008,1.047395,,0,0,0,0
495,c000055,2009,1.885181,,0,0,0,0
496,c000055,2010,1.61509,,1,0,0,0
497,c000055,2011,1.165766,,0,1,0,0
498,c000055,2012,1.535882,,0,0,1,0
499,c000055,2013,1.690139,,0,0,0,1
500,c000056,2003,1.203526,,0,0,0,0
501,c000056,2004,1.228656,,0,0,0,0
502,c000056,2005,1.091856,,0,0,0,0
503,c000056,2006,1.286738,,0,0,0,0
504,c000056,2007,2.474995,,0,0,0,0
505,c000056,2008,1.534146,,0,0,0,0
506,c000056,2009,1.857447,,0,0,0,0
507,c000056,2010,2.229764,,1,0,0,0
509,c000056,2013,0.71988,,0,0,0,1
510,c000058,2003,1.028952,,0,0,0,0
511,c000058,2004,0.930758,,0,0,0,0
512,c000058,2005,0.841649,,0,0,0,0
513,c000058,2006,0.915291,,0,0,0,0
514,c000058,2007,2.05899,,0,0,0,0
515,c000058,2008,0.733689,,0,0,0,0
516,c000058,2009,2.744577,,0,0,0,0
517,c000058,2010,1.989938,,1,0,0,0
518,c000058,2011,1.874609,,0,1,0,0
519,c000058,2012,1.648532,,0,0,1,0
520,c000058,2013,1.711895,,0,0,0,1
521,c000059,2003,1.128787,,0,0,0,0
522,c000059,2004,1.14153,,0,0,0,0
523,c000059,2005,1.01917,,0,0,0,0
524,c000059,2006,1.044483,,0,0,0,0
525,c000059,2007,0.991541,,0,0,0,0
526,c000059,2008,0.997655,,0,0,0,0
527,c000059,2009,1.362318,,0,0,0,0
528,c000059,2010,1.233672,,1,0,0,0
529,c000059,2011,0.990681,,0,1,0,0
530,c000059,2012,0.959223,,0,0,1,0
531,c000059,2013,0.899612,,0,0,0,1
532,c000060,2003,1.138354,,0,0,0,0
533,c000060,2004,1.069515,,0,0,0,0
534,c000060,2005,1.092873,,0,0,0,0
535,c000060,2006,1.613956,,0,0,0,0
536,c000060,2007,3.377196,,0,0,0,0
537,c000060,2008,1.271397,,0,0,0,0
538,c000060,2009,2.976583,,0,0,0,0
539,c000060,2010,2.979228,,1,0,0,0
540,c000060,2011,1.62886,,0,1,0,0
541,c000060,2012,1.729594,,0,0,1,0
542,c000060,2013,1.357762,,0,0,0,1
543,c000061,2003,1.022667,,0,0,0,0
544,c000061,2004,0.86186,,0,0,0,0
545,c000061,2005,0.845062,,0,0,0,0
546,c000061,2006,1.351196,,0,0,0,0
547,c000061,2007,1.910008,,0,0,0,0
548,c000061,2008,1.165591,,0,0,0,0
549,c000061,2009,1.445536,,0,0,0,0
550,c000061,2010,1.682153,,1,0,0,0
551,c000061,2011,1.327282,,0,1,0,0
552,c000061,2012,1.258331,,0,0,1,0
553,c000061,2013,1.388687,,0,0,0,1
554,c000062,2003,1.261533,,0,0,0,0
555,c000062,2004,0.92595,,0,0,0,0
556,c000062,2005,0.840957,,0,0,0,0
557,c000062,2006,1.096263,,0,0,0,0
558,c000062,2007,1.487972,,0,0,0,0
559,c000062,2008,0.896081,,0,0,0,0
560,c000062,2009,1.34835,,0,0,0,0
561,c000062,2010,1.161496,,1,0,0,0
562,c000062,2011,1.058605,,0,1,0,0
563,c000062,2012,1.454461,,0,0,1,0
564,c000062,2013,2.158654,,0,0,0,1
565,c000063,2003,1.066434,,0,0,0,0
566,c000063,2004,1.116717,,0,0,0,0
567,c000063,2005,1.223498,,0,0,0,0
568,c000063,2006,1.464433,,0,0,0,0
569,c000063,2007,1.583883,,0,0,0,0
570,c000063,2008,1.301744,,0,0,0,0
571,c000063,2009,1.696546,,0,0,0,0
572,c000063,2010,1.428342,,1,0,0,0
573,c000063,2011,1.155323,,0,1,0,0
574,c000063,2012,0.990768,,0,0,1,0
575,c000063,2013,1.071863,,0,0,0,1
576,c000065,2003,1.205183,,0,0,0,0
